txn_id,customer_id,amount,currency,channel,direction,booked_at,purpose_code,counterparty_account,counterparty_name,counterparty_sort_code,payee_first_use,customer_session_id,confirmation_of_payee_status
T90000042,C9123,80.00,GBP,faster_payments,in,2026-05-29T01:00:00,,,Known Payee 6,,False,,match
T90000043,C9123,175.00,GBP,faster_payments,out,2026-05-28T01:00:00,,,Known Payee 7,,False,,match
T90000044,C9124,320.00,GBP,faster_payments,in,2026-05-27T01:00:00,,,Known Payee 8,,False,,match
T90000045,C9124,610.00,GBP,faster_payments,out,2026-05-26T01:00:00,,,Known Payee 9,,False,,match
T90000046,C9125,940.00,GBP,faster_payments,in,2026-05-25T01:00:00,,,Known Payee 10,,False,,match
T90000047,C9125,1450.00,GBP,faster_payments,out,2026-05-24T01:00:00,,,Known Payee 11,,False,,match
T90000048,C9126,80.00,GBP,faster_payments,in,2026-05-23T01:00:00,,,Known Payee 0,,False,,match
T90000049,C9126,175.00,GBP,faster_payments,out,2026-05-22T01:00:00,,,Known Payee 1,,False,,match
T90000050,C9127,320.00,GBP,faster_payments,in,2026-05-21T01:00:00,,,Known Payee 2,,False,,match
T90000051,C9127,610.00,GBP,faster_payments,out,2026-05-20T01:00:00,,,Known Payee 3,,False,,match
T90000052,C9128,940.00,GBP,faster_payments,in,2026-05-19T01:00:00,,,Known Payee 4,,False,,match
T90000053,C9128,1450.00,GBP,faster_payments,out,2026-05-18T01:00:00,,,Known Payee 5,,False,,match
T90000054,C9129,80.00,GBP,faster_payments,in,2026-05-17T01:00:00,,,Known Payee 6,,False,,match
T90000055,C9129,175.00,GBP,faster_payments,out,2026-05-16T01:00:00,,,Known Payee 7,,False,,match
